,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gra_x,gra_y,gra_z,att_yaw,att_pitch,att_roll,labelrunning,labelexercising,labeljogging,labelsitting,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2018-06-13 17:54:53.297164032,-0.2360442,0.01749860000000002,-0.06368399999999999,0.031360400000000004,-0.016290000000000006,-0.0386766,-13.557360799999998,-37.51091620000001,-20.1036866,0.005443800000000003,-0.6855498000000001,-0.7212202,2.3020846,0.7586692000000002,0.0021363999999999992,1,0,0,0,1.0200843596768379,0.1490620131409084,0.0407833738069411,-0.23768526263507592,-0.5789080075951658,-0.03342402058300775,0.04978874985945034
2018-06-13 17:54:54.297164032,-0.425466,0.3658916,-0.1963908000000001,-0.0024307999999999977,-0.030931200000000002,0.0052176,-6.1991457999999975,-29.888861600000006,-32.181793400000004,0.195845,-0.41754600000000003,-0.8800587999999999,2.3081662,0.4311642,0.2181462,1,0,0,0,0.9702287458259237,0.05275116696016764,0.05893563414751003,-0.16022493106441427,-0.5354261734266593,0.0276054609629549,0.10716420045308958
2018-06-13 17:54:55.297164032,-0.4643827999999999,0.3812186,0.1686976,0.029896,0.0178588,0.05181260000000002,0.2159454000000004,-21.592244,-38.412567,0.3871482,-0.26546,-0.8738858,2.430223,0.2688784,0.4175442,1,0,0,0,0.9274588852399201,-0.050695261260113825,0.10797165581185,-0.17019430119329723,-0.45454010950500484,0.06556732939188235,0.09073140485921906
2018-06-13 17:54:56.297164032,-0.6185179999999999,0.41485459999999996,0.08180200000000001,0.0764922,-0.012417000000000022,0.0560806,4.0587586,8.864237800000001,-40.5608032,0.4645964,0.1745598,-0.8235551999999999,0.5672648,-0.18013300000000002,0.5165212,1,0,0,0,0.6424229314785789,0.0751337384348232,0.09496125669063075,-0.03925544178189013,-0.20785433693392874,0.06467212517179058,0.1372761378345596
2018-06-13 17:54:57.297164032,-0.959935,-1.043253,0.9198326,0.027303599999999973,0.0161716,-0.049886399999999984,13.203351000000001,33.911437199999995,-10.7229188,0.6283909999999999,0.6119776,-0.21263800000000002,-2.219364,-0.6939994,1.3542424,1,0,0,0,0.17748982223532142,0.14957109317083908,0.003869408306121433,0.2268374113925618,0.293695026087549,-0.024334624482314916,0.06086254140064772
2018-06-13 17:54:58.297164032,-0.7978306000000001,0.21497739999999999,0.5071964,0.11728439999999996,0.13036679999999998,0.1433546,29.5788422,32.153577399999996,0.5644288000000001,0.824232,0.4376782,-0.14575639999999998,-1.660986,-0.4634172,1.4009338,1,0,0,0,0.30823301196173314,0.017458327488830055,0.1435762977149691,0.17288392443569114,0.328335727756234,-0.09524085089672447,0.16583467993091092
2018-06-13 17:54:59.297164032,-0.20937340000000004,-0.2895164,0.059637800000000026,0.0417652,-0.02343240000000001,-0.013088999999999998,40.6770384,21.7279182,6.0017884000000015,0.9671368,0.1995648,-0.0738828,-1.418715,-0.2010942,1.4949709999999998,1,0,0,0,0.4878152984890087,-0.021842712839224343,-0.04707985121282905,0.1549931655392922,0.35191125245280885,-0.14453383694826302,0.06086393311019611
2018-06-13 17:55:00.297164032,0.2689442000000001,0.0215614,-0.8216167000000001,0.1022592,-0.0230846,4.1399999999999766e-05,35.8675506,21.742629099999995,-7.8063018999999985,0.7996359999999999,0.25904320000000003,-0.3802373,-1.3429972,-0.2763277,1.1552646999999998,1,0,0,0,0.5213261704599244,0.06975444085588219,-0.10329250242067746,0.09779191261824287,0.23743078761904743,-0.13986056562076904,0.03068310974918174
2018-06-13 17:55:01.297164032,-0.14783339999999998,-0.410407,0.2164776,-0.031030400000000007,0.17574859999999998,0.002487399999999984,22.22207620000001,36.2123878,-5.159979,0.6490145999999999,0.62929,-0.36850920000000004,-1.4258196,-0.695926,1.0700173999999998,1,0,0,0,0.2268870857157618,0.07768400680592483,0.0034847175614152494,0.16444763303447782,0.2171959165262263,-0.023917346699022738,-0.0512397092226574
2018-06-13 17:55:02.297164032,-0.027187799999999998,0.5258486,0.16196419999999995,0.0017955999999999864,-0.0036178000000000265,-0.0231962,21.4797578,37.5408624,-3.5414612000000005,0.7022604,0.635939,-0.2661502000000001,-1.5405615999999998,-0.6910763999999999,1.2190121999999999,1,0,0,0,0.19972966225611227,0.06959848678589872,0.030824665711663337,0.09927716813589824,0.3046735973217532,0.0008663337046451493,0.04688418231619185
