,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gra_x,gra_y,gra_z,att_yaw,att_pitch,att_roll,labelrunning,labelexercising,labeljogging,labelsitting
2018-06-13 18:32:47.297164032,-0.00011839999999999999,0.0005830000000000001,0.0020014,0.0012000000000000001,-0.0021628000000000003,0.005882,30.760623199999998,4.9052565999999995,-15.162481599999998,0.7345666,0.0457696,-0.6769909999999999,-0.33963100000000007,-0.0457852,0.8261642,0,0,0,1
2018-06-13 18:32:48.297164032,-0.0002684000000000001,0.0006462000000000001,0.0009104000000000001,0.001252,-0.0028558,0.0054526,30.683727999999995,4.7904594,-15.235260199999999,0.7335896,0.045873199999999996,-0.6780422,-0.34089620000000004,-0.0458894,0.824728,0,0,0,1
2018-06-13 18:32:49.297164032,-0.0020132,0.004482,0.0027728,0.0007798,-0.0034811999999999994,0.0047442,30.770211600000003,4.8155174,-14.986810199999999,0.7356855999999999,0.0453514,-0.6758014,-0.3380498,-0.0453666,0.827799,0,0,0,1
2018-06-13 18:32:50.297164032,-0.001386,0.0014552,-0.0011454,-0.0004522,-0.0020868,0.0036744,30.629949999999997,4.807351799999999,-14.9739684,0.7372105999999999,0.044793000000000006,-0.6741762,-0.3345636,-0.044808,0.8300297999999999,0,0,0,1
2018-06-13 18:32:51.297164032,-0.0002484000000000001,-0.0008745999999999999,-0.00045720000000000005,-0.0013992000000000002,-0.0023732,0.0031006,30.702920600000006,4.786697200000001,-14.963354599999999,0.7375166,0.0446276,-0.6738524000000001,-0.33411519999999995,-0.0446424,0.830476,0,0,0,1
2018-06-13 18:32:52.297164032,7.75999999999999e-05,-0.0008,0.00036959999999999977,-0.0018178,-0.0024628,0.0030488,30.769369599999997,4.868791399999999,-14.9810608,0.7367113999999999,0.0450136,-0.674707,-0.33563839999999995,-0.0450286,0.8293006,0,0,0,1
2018-06-13 18:32:53.297164032,-0.0016046,0.0021332,0.0009718000000000003,-0.0021496,-0.0018806,0.002907,30.63378,4.872688200000001,-15.050763,0.7378338,0.0445228,-0.6735124,-0.33366039999999997,-0.044537600000000004,0.8309412,0,0,0,1
2018-06-13 18:32:54.297164032,-0.0019628,0.0012232000000000002,0.0002680000000000001,-0.0026646000000000005,-0.0030386,0.0018287999999999998,30.765908799999995,4.741246800000001,-15.0457212,0.7384892000000001,0.044417399999999996,-0.6728006,-0.3327282,-0.0444322,0.8319096,0,0,0,1
2018-06-13 18:32:55.297164032,0.00145075,-0.0022235,-0.0006659999999999999,-0.0022045000000000003,-0.00285725,0.0028205,30.729732499999997,4.7354815,-14.93517325,0.73850225,0.044449,-0.6727842500000001,-0.33297875,-0.044464,0.8319305,0,0,0,1
2018-06-13 18:32:56.297164032,0.0007452,0.0002848,-0.00207,-0.0022576,-0.0020396,0.0030269999999999997,30.8162812,4.7435396,-14.882488999999998,0.7388574,0.045142400000000006,-0.6723473999999999,-0.33370239999999995,-0.045158000000000004,0.8324932,0,0,0,1
2018-06-13 18:32:57.297164032,-0.0018038,0.000762,0.0011346,-0.0028446,-0.0029094000000000004,0.0023024,30.807757600000002,4.7997398,-14.8470642,0.7388128,0.045383799999999995,-0.67238,-0.33363240000000005,-0.045399,0.8324390000000002,0,0,0,1
2018-06-13 18:32:58.297164032,-4.979999999999993e-05,-0.0026454,-0.0007844,-0.002521,-0.0043592,0.00298,30.694793800000003,4.713445999999999,-14.917089999999998,0.7384768,0.045369,-0.6727494,-0.33282320000000004,-0.045384,0.8319396000000001,0,0,0,1
2018-06-13 18:32:59.297164032,-8.739999999999997e-05,0.0012288,-0.0003588,-0.0023584,-0.0023366000000000003,0.0016843999999999997,30.758178800000003,4.7140904,-15.038501,0.7379996,0.045747600000000006,-0.6732482,-0.3330024,-0.0457636,0.8312484000000001,0,0,0,1
2018-06-13 18:33:00.297164032,0.0005608000000000001,0.00037440000000000016,-0.0012125999999999999,-0.0013494000000000002,-0.0035605999999999997,0.0029234,30.8435794,4.738317,-14.9963686,0.737534,0.04619659999999999,-0.6737276,-0.33428019999999997,-0.046213000000000004,0.8305798,0,0,0,1
2018-06-13 18:33:01.297164032,-0.0015991999999999998,0.0014818,0.00026579999999999996,-0.0016587999999999998,-0.0030810000000000004,0.0024225999999999996,30.8656158,4.8637376,-15.029058799999998,0.7374562,0.04598899999999999,-0.6738276,-0.3334918,-0.046005,0.830453,0,0,0,1
2018-06-13 18:33:02.297164032,0.0008572,0.00021959999999999992,0.001016,-0.0013712000000000002,-0.0031974000000000004,0.002773,30.7357818,4.840661,-15.0622374,0.737748,0.045739,-0.6735249999999999,-0.3340834,-0.045755,0.8308736,0,0,0,1
2018-06-13 18:33:03.297164032,0.0012032000000000002,-0.0014436000000000002,-0.0023092,-0.0026054,-0.002807,0.001709,30.739904799999998,4.9107246,-15.127569600000001,0.7375664,0.0459036,-0.6737124000000001,-0.33464600000000005,-0.045919999999999996,0.8306128000000002,0,0,0,1
2018-06-13 18:33:04.297164032,-0.0022138,0.0023264,0.0020220000000000004,-0.0022221999999999997,-0.0028832,0.0019274,30.732101400000005,4.7469566,-15.0349244,0.7380588,0.0458426,-0.6731766,-0.3340952,-0.0458586,0.8313416,0,0,0,1
2018-06-13 18:33:05.297164032,-0.0011012,-0.0007504,0.0001338,-0.0028186,-0.0036092,0.0015004,30.7941038,4.6927538,-15.0012632,0.7389020000000001,0.0456442,-0.6722646,-0.332814,-0.0456598,0.8325848,0,0,0,1
2018-06-13 18:33:06.297164032,0.0006284,0.0010734,0.0004594000000000001,-0.0027375999999999998,-0.0033056,0.0017391999999999998,30.796612400000004,4.787498600000001,-15.0291808,0.7386963999999999,0.0454596,-0.6725032000000001,-0.3321788,-0.04547539999999999,0.8322692,0,0,0,1
2018-06-13 18:33:07.297164032,-0.0012242,-0.0011802000000000002,0.0006024000000000003,-0.0029134,-0.0033046000000000004,0.0011068,30.712207,4.7110563999999995,-15.167334199999999,0.7387534,0.0456292,-0.6724292,-0.33282160000000005,-0.0456452,0.8323626,0,0,0,1
2018-06-13 18:33:08.297164032,-0.0021792,-0.0009002,0.0022754,-0.0038456000000000002,-0.0024164,0.0009611999999999999,30.620556599999997,4.7460624000000005,-15.242456,0.7384130000000001,0.0458156,-0.6727901999999999,-0.32952339999999997,-0.0458316,0.8318658000000001,0,0,0,1
2018-06-13 18:33:09.297164032,0.000999,-0.0007632000000000001,-5.999999999999972e-06,-0.003953399999999999,-0.0034452,0.0009854,30.684036399999997,4.740933200000001,-15.180474800000002,0.7386088,0.045073999999999996,-0.6726254,-0.3293498,-0.04508960000000001,0.8321202,0,0,0,1
2018-06-13 18:33:10.297164032,0.0007768,0.0009562000000000001,0.0002408,-0.0049374,-0.0030902,0.0006064000000000001,30.788360599999997,4.7562598000000005,-15.186584799999997,0.7389524,0.0452806,-0.6722342,-0.3292332,-0.0452964,0.832641,0,0,0,1
2018-06-13 18:33:11.297164032,1.720000000000004e-05,0.0006542,0.00038400000000000006,-0.0040706,-0.0023752,-0.0004116000000000001,30.642330799999996,4.6619802,-15.163720800000002,0.7392631999999999,0.04548139999999999,-0.6718782,-0.3297314,-0.045497,0.8331139999999999,0,0,0,1
2018-06-13 18:33:12.297164032,-0.0001886,0.0004962,-9.719999999999998e-05,-0.004200000000000001,-0.0024906,-0.0009712000000000002,30.638986199999998,4.8629044,-15.06026,0.7399056,0.0452884,-0.6711844,-0.32885780000000003,-0.0453038,0.8340603999999999,0,0,0,1
2018-06-13 18:33:13.297164032,0.0012304,-0.0013194000000000003,0.000889,-0.0039986,-0.0018242000000000002,-0.00042040000000000003,30.7318754,4.815421199999999,-15.177704,0.7396554,0.045318000000000004,-0.6714574000000001,-0.32925459999999995,-0.0453336,0.8336895999999999,0,0,0,1
2018-06-13 18:33:14.297164032,0.0011681999999999999,-0.001071,-0.0009677999999999999,-0.0040241999999999995,-0.0023752,-0.00015319999999999998,30.553952000000002,4.8311226,-15.021752999999999,0.739336,0.045341000000000006,-0.6718073999999999,-0.3303368,-0.0453564,0.8332153999999999,0,0,0,1
2018-06-13 18:33:15.297164032,-0.002074,-0.0020372000000000003,0.0007164,-0.004899000000000001,-0.0022482,1.0000000000000027e-06,30.5130002,4.904439399999999,-15.074902,0.7389446,0.045460999999999994,-0.6722298,-0.330577,-0.045476800000000005,0.8326388000000001,0,0,0,1
2018-06-13 18:33:16.297164032,-0.0003108000000000001,-0.0027064,0.0003134000000000001,-0.0039558,-0.0031225999999999997,-0.0006064,30.6273286,4.6734328000000005,-15.221532999999999,0.7379192000000001,0.0454994,-0.6733528000000001,-0.32899680000000003,-0.045515,0.8311170000000001,0,0,0,1
2018-06-13 18:33:17.297164032,-0.0010792,0.00040940000000000003,0.0003526,-0.0043062000000000005,-0.0031952,-0.0004994,30.774438399999998,4.7348343999999996,-15.190252800000001,0.7381474000000001,0.0453644,-0.6731119999999999,-0.328385,-0.045380199999999996,0.8314485999999999,0,0,0,1
2018-06-13 18:33:18.297164032,0.0010602,-6.740000000000001e-05,-0.0014132,-0.0051676,-0.0021400000000000004,-0.0004902,30.662530599999997,4.8195062,-15.1573242,0.7385841999999999,0.045316,-0.672636,-0.3286762,-0.04533159999999999,0.8320954,0,0,0,1
2018-06-13 18:33:19.297164032,-0.0015212,-0.0010956,0.000979,-0.0048538,-0.0025881999999999997,-0.0010006,30.594363199999997,4.767767399999999,-15.1048462,0.7390884,0.0451264,-0.6720952,-0.32785739999999997,-0.045142,0.8328358,0,0,0,1
2018-06-13 18:33:20.297164032,0.00018079999999999998,-0.0004555999999999999,-0.0011564,-0.005117399999999999,-0.0019924,-0.0011956,30.8238464,4.827602400000001,-15.1500122,0.7391904,0.0449094,-0.6719974000000001,-0.327194,-0.0449246,0.8329764000000001,0,0,0,1
2018-06-13 18:33:21.297164032,-0.00025374999999999996,-0.00027824999999999996,-1.999999999999989e-05,-0.004661,-0.0026125,-0.000502,30.7794225,4.8289025,-15.163398749999999,0.73893275,0.04500525,-0.6722735,-0.32753275,-0.045020250000000005,0.8325992499999999,0,0,0,1
2018-06-13 18:33:22.297164032,0.0010024,-0.0032034,-0.0026412000000000002,-0.0044376,-0.0024378,-0.0007734000000000002,30.593621600000006,4.9500078,-15.0943668,0.7385776,0.045183400000000006,-0.6726518,-0.3288044,-0.0451988,0.8320793999999999,0,0,0,1
2018-06-13 18:33:23.297164032,-0.00039439999999999994,0.0015448,0.0026058,-0.0050606,-0.0020792000000000007,-0.0004646,30.661938199999998,4.7435158,-15.1687196,0.7385902,0.0447886,-0.6726646,-0.328366,-0.04480339999999999,0.8320784,0,0,0,1
2018-06-13 18:33:24.297164032,-0.0003176,-0.0004286,0.000613,-0.0047648000000000005,-0.0014702,-0.0006747999999999999,30.679391400000004,4.7301215999999995,-15.1417782,0.7390205999999999,0.0445152,-0.6722106,-0.32713359999999997,-0.044529599999999996,0.8327045999999999,0,0,0,1
2018-06-13 18:33:25.297164032,0.0008978,0.0018410000000000002,-0.00017720000000000002,-0.0046154,-0.0019902,-0.0010792,30.5162506,4.7960418,-15.0627198,0.7392652,0.0441596,-0.6719646,-0.3276924,-0.044174000000000005,0.8330511999999999,0,0,0,1
2018-06-13 18:33:26.297164032,0.0011604,0.0010866,0.00011200000000000004,-0.0047602,-0.0019790000000000003,-0.0005332000000000001,30.623343,4.7092796,-15.172509600000001,0.7389032,0.044276399999999994,-0.6723548,-0.3296326,-0.044291000000000004,0.8325184,0,0,0,1
2018-06-13 18:33:27.297164032,7.640000000000001e-05,-1.4200000000000064e-05,0.0004202000000000001,-0.00538,-0.0021742000000000003,-2.2199999999999998e-05,30.6310364,4.7368904,-15.161053600000002,0.7393216,0.0438946,-0.67192,-0.32860239999999996,-0.0439088,0.8331226,0,0,0,1
2018-06-13 18:33:28.297164032,0.0008542000000000001,-0.0028699999999999997,-0.0017494,-0.0039588,-0.0025122,-1.2200000000000058e-05,30.6946594,4.754503,-15.1253174,0.7391759999999999,0.044083,-0.6720674,-0.32874,-0.044097399999999995,0.8329150000000001,0,0,0,1
