,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gra_x,gra_y,gra_z,att_yaw,att_pitch,att_roll,labelrunning,labelexercising,labeljogging,labelsitting
2018-06-13 17:54:53.297164032,-0.2360442,0.01749860000000002,-0.06368399999999999,0.031360400000000004,-0.016290000000000006,-0.0386766,-13.557360799999998,-37.51091620000001,-20.1036866,0.005443800000000003,-0.6855498000000001,-0.7212202,2.3020846,0.7586692000000002,0.0021363999999999992,1,0,0,0
2018-06-13 17:54:54.297164032,-0.425466,0.3658916,-0.19639080000000006,-0.0024307999999999977,-0.0309312,0.0052176,-6.199145799999998,-29.8888616,-32.181793400000004,0.195845,-0.417546,-0.8800587999999999,2.3081662,0.4311642,0.2181462,1,0,0,0
2018-06-13 17:54:55.297164032,-0.46438279999999993,0.38121859999999996,0.1686976,0.029896,0.0178588,0.051812600000000014,0.2159454000000004,-21.592244,-38.412566999999996,0.3871482,-0.26546,-0.8738858,2.430223,0.2688784,0.4175442,1,0,0,0
2018-06-13 17:54:56.297164032,-0.6185179999999999,0.4148546,0.08180200000000001,0.0764922,-0.012417000000000022,0.0560806,4.0587586,8.864237800000001,-40.5608032,0.4645964,0.1745598,-0.8235551999999999,0.5672648,-0.18013300000000002,0.5165212,1,0,0,0
2018-06-13 17:54:57.297164032,-0.959935,-1.043253,0.9198325999999999,0.027303599999999973,0.0161716,-0.049886399999999984,13.203351,33.911437199999995,-10.7229188,0.6283909999999999,0.6119776,-0.212638,-2.219364,-0.6939994,1.3542424,1,0,0,0
2018-06-13 17:54:58.297164032,-0.7978306000000001,0.2149774,0.5071964,0.11728439999999996,0.13036679999999998,0.1433546,29.5788422,32.1535774,0.5644288000000001,0.824232,0.4376782,-0.14575639999999998,-1.660986,-0.46341720000000003,1.4009338,1,0,0,0
2018-06-13 17:54:59.297164032,-0.20937340000000004,-0.2895164,0.059637800000000026,0.041765199999999995,-0.02343240000000001,-0.013088999999999998,40.677038399999994,21.7279182,6.0017884000000015,0.9671368,0.1995648,-0.0738828,-1.418715,-0.2010942,1.4949709999999998,1,0,0,0
2018-06-13 17:55:00.297164032,0.2689442000000001,0.0215614,-0.8216167000000001,0.1022592,-0.023084599999999997,4.1399999999999766e-05,35.8675506,21.742629099999995,-7.8063018999999985,0.7996359999999999,0.25904320000000003,-0.3802373,-1.3429972,-0.2763277,1.1552646999999998,1,0,0,0
2018-06-13 17:55:01.297164032,-0.14783339999999998,-0.41040699999999997,0.2164776,-0.031030400000000007,0.17574859999999998,0.002487399999999984,22.22207620000001,36.212387799999995,-5.159979,0.6490145999999999,0.62929,-0.3685092,-1.4258196,-0.695926,1.0700173999999998,1,0,0,0
2018-06-13 17:55:02.297164032,-0.0271878,0.5258486,0.16196419999999995,0.0017955999999999864,-0.0036178000000000265,-0.0231962,21.4797578,37.5408624,-3.5414612000000005,0.7022604,0.635939,-0.2661502000000001,-1.5405615999999998,-0.6910763999999999,1.2190122,1,0,0,0
