,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,speed
1010,1.52891251365592e+18,1,0,0,0,2.050674851851852
1020,1.5289125138574917e+18,1,0,0,0,2.067693333333333
1030,1.5289125140590636e+18,1,0,0,0,2.0847118148148147
1040,1.5289125142606354e+18,1,0,0,0,2.1017302962962963
1050,1.5289125144622072e+18,1,0,0,0,2.1187487777777774
1060,1.528912514663779e+18,1,0,0,0,2.135767259259259
1070,1.528912514865351e+18,1,0,0,0,2.1527857407407405
1080,1.5289125150669228e+18,1,0,0,0,2.169804222222222
1090,1.5289125152684946e+18,1,0,0,0,2.1868227037037036
1100,1.5289125154700664e+18,1,0,0,0,2.203841185185185
1110,1.5289125156716385e+18,1,0,0,0,2.2208596666666667
1120,1.52891251587321e+18,1,0,0,0,2.2378781481481482
1130,1.528912516074782e+18,1,0,0,0,2.25489662962963
1140,1.5289125162763538e+18,1,0,0,0,2.271915111111111
1150,1.5289125164779256e+18,1,0,0,0,2.2889335925925924
1160,1.5289125166794977e+18,1,0,0,0,2.305952074074074
1170,1.5289125168810693e+18,1,0,0,0,2.322970555555555
1180,1.5289125170826412e+18,1,0,0,0,2.3399890370370366
1190,1.528912517284213e+18,1,0,0,0,2.357007518518518
1200,1.5289125174857848e+18,1,0,0,0,2.3740259999999997
1210,1.528912517687357e+18,1,0,0,0,2.304347
1220,1.5289125178889285e+18,1,0,0,0,2.234668
1230,1.5289125180905004e+18,1,0,0,0,2.164989
1240,1.5289125182920722e+18,1,0,0,0,2.09531
1250,1.528912518493644e+18,1,0,0,0,2.025631
1260,1.528912518695216e+18,1,0,0,0,2.02894745751634
1270,1.5289125188967877e+18,1,0,0,0,2.03226391503268
1280,1.5289125190983596e+18,1,0,0,0,2.0355803725490196
1290,1.5289125192999314e+18,1,0,0,0,2.03889683006536
1300,1.5289125195015032e+18,1,0,0,0,2.0422132875816996
1310,1.528912519703075e+18,1,0,0,0,2.0455297450980394
1320,1.528912519904647e+18,1,0,0,0,2.048846202614379
1330,1.5289125201062188e+18,1,0,0,0,2.052162660130719
1340,1.5289125203077906e+18,1,0,0,0,2.055479117647059
1350,1.5289125205093624e+18,1,0,0,0,2.058795575163399
1360,1.5289125207109345e+18,1,0,0,0,2.062112032679739
1370,1.528912520912506e+18,1,0,0,0,2.0654284901960787
1380,1.528912521114078e+18,1,0,0,0,2.0687449477124185
1390,1.5289125213156498e+18,1,0,0,0,2.0720614052287583
1400,1.5289125215172216e+18,1,0,0,0,2.075377862745098
1410,1.5289125217187937e+18,1,0,0,0,2.0786943202614383
1420,1.5289125219203653e+18,1,0,0,0,2.082010777777778
1430,1.5289125221219372e+18,1,0,0,0,2.085327235294118
1440,1.528912522323509e+18,1,0,0,0,2.0886436928104577
1450,1.5289125225250808e+18,1,0,0,0,2.0919601503267975
1460,1.528912522726653e+18,1,0,0,0,2.0952766078431373
1470,1.5289125229282245e+18,1,0,0,0,2.098593065359477
1480,1.5289125231297964e+18,1,0,0,0,2.1019095228758173
1490,1.5289125233313682e+18,1,0,0,0,2.105225980392157
