,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,x,y,z
1000,1.528912513454348e+18,1,0,0,0,-0.068177,0.9961209999999999,0.055622000000000005
1010,1.52891251365592e+18,1,0,0,0,0.218232,0.952189,-0.21380300000000002
1020,1.5289125138574917e+18,1,0,0,0,0.373736,0.924417,-0.07599299999999999
1030,1.5289125140590636e+18,1,0,0,0,-0.071466,0.953716,0.292094
1040,1.5289125142606354e+18,1,0,0,0,0.24598299999999998,0.969274,0.0006450000000000001
1050,1.5289125144622072e+18,1,0,0,0,0.20414200000000002,0.954707,-0.21647399999999997
1060,1.528912514663779e+18,1,0,0,0,0.283211,0.9554299999999999,0.083329
1070,1.528912514865351e+18,1,0,0,0,-0.173266,0.962673,0.20793499999999998
1080,1.5289125150669228e+18,1,0,0,0,0.257504,0.9659459999999999,0.025287
1090,1.5289125152684946e+18,1,0,0,0,0.087621,0.9743799999999999,-0.20713800000000002
1100,1.5289125154700664e+18,1,0,0,0,0.236672,0.9524610000000001,0.191847
1110,1.5289125156716385e+18,1,0,0,0,-0.076985,0.987447,0.13791199999999998
1120,1.52891251587321e+18,1,0,0,0,0.33052600000000004,0.932867,-0.143216
1130,1.528912516074782e+18,1,0,0,0,0.13650199999999998,0.9612700000000001,-0.239427
1140,1.5289125162763538e+18,1,0,0,0,0.010744,0.9609270000000001,0.276591
1150,1.5289125164779256e+18,1,0,0,0,-0.099922,0.9927889999999999,0.066223
1160,1.5289125166794977e+18,1,0,0,0,0.272045,0.944983,-0.181658
1170,1.5289125168810693e+18,1,0,0,0,0.31854,0.9381780000000001,-0.135479
1180,1.5289125170826412e+18,1,0,0,0,-0.049886,0.946559,0.31864699999999996
1190,1.528912517284213e+18,1,0,0,0,0.256294,0.9665879999999999,-0.004464
1200,1.5289125174857848e+18,1,0,0,0,0.27899700000000005,0.9548969999999999,0.0672955
1210,1.528912517687357e+18,1,0,0,0,0.3017,0.943206,0.13905499999999998
1220,1.5289125178889285e+18,1,0,0,0,-0.137569,0.958874,0.2482550000000001
1230,1.5289125180905004e+18,1,0,0,0,0.33124699999999996,0.9434520000000001,-0.013102
1240,1.5289125182920722e+18,1,0,0,0,0.140096,0.971168,-0.192878
1250,1.528912518493644e+18,1,0,0,0,-0.01922849999999998,0.9703385,-0.012519000000000002
1260,1.528912518695216e+18,1,0,0,0,-0.178553,0.9695090000000001,0.16784000000000002
1270,1.5289125188967877e+18,1,0,0,0,0.332936,0.939846,-0.076441
1280,1.5289125190983596e+18,1,0,0,0,0.14522000000000002,0.980627,-0.131456
1290,1.5289125192999314e+18,1,0,0,0,-0.059289999999999995,0.958829,0.277727
1300,1.5289125195015032e+18,1,0,0,0,-0.071849,0.9947239999999999,0.07323099999999999
1310,1.528912519703075e+18,1,0,0,0,0.32795,0.933423,-0.145495
1320,1.528912519904647e+18,1,0,0,0,0.232744,0.9646879999999999,-0.12331900000000001
1330,1.5289125201062188e+18,1,0,0,0,-0.086523,0.9406370000000001,0.328201
1340,1.5289125203077906e+18,1,0,0,0,0.11995499999999999,0.992772,-0.003662
1350,1.5289125205093624e+18,1,0,0,0,0.298035,0.943715,-0.143448
1360,1.5289125207109345e+18,1,0,0,0,0.34230700000000003,0.9378190000000001,0.057638
1370,1.528912520912506e+18,1,0,0,0,-0.12903599999999998,0.9481350000000001,0.290496
