,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,x,y,z
880,1.528912511035486e+18,1,0,0,0,0.218927,-1.1234950000000001,-0.177868
890,1.5289125112370578e+18,1,0,0,0,-0.396573,0.495987,0.24680300000000002
900,1.5289125114386296e+18,1,0,0,0,-0.0522,-1.385716,-0.382515
910,1.5289125116402017e+18,1,0,0,0,0.588734,2.014209,0.553873
920,1.5289125118417733e+18,1,0,0,0,0.323219,-1.184485,-0.250573
930,1.5289125120433452e+18,1,0,0,0,-0.498439,-0.18346700000000002,0.173836
940,1.528912512244917e+18,1,0,0,0,-0.05123200000000002,-1.122179,0.24508400000000002
950,1.5289125124464888e+18,1,0,0,0,1.9113529999999999,1.145211,0.321252
960,1.528912512648061e+18,1,0,0,0,0.418596,-1.145645,-0.167967
970,1.5289125128496325e+18,1,0,0,0,-0.496337,-0.47632399999999997,0.683763
980,1.5289125130512044e+18,1,0,0,0,-0.384905,-0.620555,-0.076567
990,1.5289125132527762e+18,1,0,0,0,1.072211,0.092236,-0.12975
1000,1.528912513454348e+18,1,0,0,0,0.744111,-0.5098689999999999,-0.138721
1010,1.52891251365592e+18,1,0,0,0,-0.321077,-1.002466,0.6181
1020,1.5289125138574917e+18,1,0,0,0,-1.219653,0.40116,0.847325
1030,1.5289125140590636e+18,1,0,0,0,0.584619,-1.091624,-0.482325
1040,1.5289125142606354e+18,1,0,0,0,0.008793,5.50442,-0.23453200000000002
1050,1.5289125144622072e+18,1,0,0,0,-0.284235,-1.139399,0.476117
1060,1.528912514663779e+18,1,0,0,0,-1.2334370000000001,3.3217160000000003,1.141677
1070,1.528912514865351e+18,1,0,0,0,0.499987,-1.202587,-0.276005
1080,1.5289125150669228e+18,1,0,0,0,-0.528149,0.568859,-0.789569
1090,1.5289125152684946e+18,1,0,0,0,-0.044973,-1.277496,0.580231
1100,1.5289125154700664e+18,1,0,0,0,0.9160229999999999,2.5449610000000003,0.9684
1110,1.5289125156716385e+18,1,0,0,0,0.271947,-1.153143,-0.10551700000000001
