,timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix).1,User Mark,timestamp
0,1528282412.731368,0.255031,0.191111,2.946614,-0.074312,-0.682843,0.186113,0.247683,-0.18995,-0.9500379999999999,0.020521,0.058327,-0.026188999999999997,-4.7382349999999995,-12.383113999999999,-25.711426,,,,,,,,1528282412.731368
1,,,,,,,,,,,,,,,,,52.334121,4.865614,-0.8988450000000001,-1.0,-1.0,1528282340.253144,,1528282340.253144
2,1528282412.751525,0.24558200000000002,0.195259,2.950023,0.311704,-0.322211,0.21641100000000002,0.23850100000000002,-0.19402,-0.951564,-0.020819,0.042043000000000004,0.013316,-5.186676,-12.378185,-25.601471,,,,,,,,1528282412.751525
3,,,,,,,,,,,,,,,,,52.335636,4.8663419999999995,-0.8988450000000001,-1.0,-1.0,1528282412.745413,,1528282412.745413
4,1528282412.771683,0.24413600000000002,0.204297,2.9502509999999997,0.512994,-0.008,0.072463,0.23669099999999998,-0.202878,-0.950167,-0.013988999999999998,0.007047,0.00635,-5.36499,-12.138271000000001,-25.715942000000002,,,,,,,,1528282412.771683
5,,,,,,,,,,,,,,,,,52.336321000000005,4.866671,-0.8988450000000001,-1.0,-1.0,1528282412.749648,,1528282412.749648
6,1528282412.79184,0.244939,0.21493,2.947959,0.600168,-0.007298000000000001,0.028789,0.236918,-0.213279,-0.94783,0.035375,0.016334,0.049423,-5.633499,-12.163967,-25.462494,,,,,,,,1528282412.79184
7,1528282412.8119972,0.245652,0.225634,2.945953,0.568094,0.0041719999999999995,0.067182,0.23702399999999998,-0.223725,-0.945392,0.070989,0.01622,0.09231900000000001,-5.5289459999999995,-12.569771000000001,-25.33493,,,,,,,,1528282412.8119972
8,1528282412.8321538,0.245241,0.23520100000000002,2.946028,0.46512200000000004,-0.03361,0.181305,0.23610599999999998,-0.233039,-0.94337,0.09797,0.018424,0.098842,-5.517365,-12.853031,-24.996124,,,,,,,,1528282412.8321538
9,1528282412.852311,0.24259299999999998,0.24338400000000002,2.949455,0.32545999999999997,-0.12225699999999999,0.302863,0.23314000000000001,-0.240988,-0.942109,0.086516,0.012152,0.088502,-5.633591,-13.105392,-24.771545,,,,,,,,1528282412.852311
