,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,yaw,pitch,roll
390,1.5289125011584658e+18,1,0,0,0,-1.388258,-0.5321365,1.2104665
400,1.5289125013600376e+18,1,0,0,0,-1.3721,-0.380152,0.873425
410,1.5289125015616097e+18,1,0,0,0,-1.5247950000000001,-0.564484,1.102167
420,1.5289125017631813e+18,1,0,0,0,-1.3301,-0.835045,1.069758
430,1.5289125019647532e+18,1,0,0,0,-1.159885,-0.782235,1.038301
440,1.528912502166325e+18,1,0,0,0,-1.742218,-0.9177139999999999,1.2664360000000001
450,1.5289125023678968e+18,1,0,0,0,-1.7501529999999998,-0.647784,0.9181020000000001
460,1.528912502569469e+18,1,0,0,0,-1.587736,-0.611262,1.022118
470,1.5289125027710405e+18,1,0,0,0,-1.4195790000000001,-0.6683819999999999,1.312907
480,1.5289125029726124e+18,1,0,0,0,-1.3008520000000001,-0.8008810000000001,1.513641
490,1.5289125031741842e+18,1,0,0,0,-1.6444880000000002,-0.727073,1.328293
500,1.528912503375756e+18,1,0,0,0,-1.641648,-0.5750390000000001,1.208541
510,1.528912503577328e+18,1,0,0,0,-1.498844,-0.5041100000000001,1.210854
520,1.5289125037788997e+18,1,0,0,0,-1.341993,-0.508555,1.258632
530,1.5289125039804716e+18,1,0,0,0,-1.2898370000000001,-0.8314879999999999,1.286117
540,1.5289125041820434e+18,1,0,0,0,-1.4882549999999999,-0.733388,1.3277729999999999
550,1.5289125043836152e+18,1,0,0,0,-1.786252,-0.7776529999999999,0.894574
560,1.528912504585187e+18,1,0,0,0,-1.525836,-0.849253,0.7903
570,1.528912504786759e+18,1,0,0,0,-1.362257,-0.970759,1.029768
580,1.5289125049883308e+18,1,0,0,0,-0.252492,-1.3332540000000002,2.254736
590,1.5289125051899026e+18,1,0,0,0,-0.526513,-1.170625,2.558041
600,1.5289125053914744e+18,1,0,0,0,-1.4794770000000002,-1.148634,1.5049350000000001
610,1.5289125055930465e+18,1,0,0,0,-1.651256,-1.023001,0.87416
620,1.528912505794618e+18,1,0,0,0,-1.614367,-0.985542,0.8498530000000001
630,1.52891250599619e+18,1,0,0,0,-1.429106,-1.287156,1.418035
640,1.5289125061977618e+18,1,0,0,0,-0.029233999999999996,-1.360016,2.962719
650,1.5289125063993336e+18,1,0,0,0,-1.7436639999999999,-1.2185219999999999,1.351673
660,1.5289125066009057e+18,1,0,0,0,-1.914784,-1.176036,0.817692
670,1.5289125068024773e+18,1,0,0,0,-1.512229,-1.248592,1.411892
680,1.5289125070040492e+18,1,0,0,0,0.33624699999999996,-1.3081909999999999,-2.930056
690,1.528912507205621e+18,1,0,0,0,3.1380630000000003,-1.476226,-0.263799
700,1.5289125074071928e+18,1,0,0,0,-2.104204,-1.2980530000000001,0.7560979999999999
710,1.528912507608765e+18,1,0,0,0,-1.750255,-1.352216,1.10206
720,1.5289125078103365e+18,1,0,0,0,0.8013020000000001,-1.294063,-2.57317
730,1.5289125080119084e+18,1,0,0,0,1.961597,-1.4647709999999998,-1.553258
740,1.5289125082134802e+18,1,0,0,0,-2.089648,-1.291851,0.6357470000000001
750,1.528912508415052e+18,1,0,0,0,-1.926335,-1.2012209999999999,0.730103
760,1.528912508616624e+18,1,0,0,0,0.379758,-1.341215,3.118996
770,1.5289125088181957e+18,1,0,0,0,-2.899917,-1.453359,-0.321865
780,1.5289125090197676e+18,1,0,0,0,-2.1231560000000003,-1.287587,0.39270700000000003
790,1.5289125092213394e+18,1,0,0,0,-1.135926,-1.224928,1.4835969999999998
800,1.5289125094229112e+18,1,0,0,0,0.638487,-1.291518,-2.989475
810,1.528912509624483e+18,1,0,0,0,-1.4749860000000001,-1.353048,1.269758
820,1.528912509826055e+18,1,0,0,0,-1.934047,-1.298778,0.578921
830,1.5289125100276268e+18,1,0,0,0,-1.2504,-1.4061549999999998,1.513434
840,1.5289125102291986e+18,1,0,0,0,1.29731,-1.242715,-2.278467
850,1.5289125104307704e+18,1,0,0,0,-1.214391,-1.414367,1.715486
860,1.5289125106323425e+18,1,0,0,0,-2.112177,-1.3532819999999999,0.40384699999999996
870,1.528912510833914e+18,1,0,0,0,-0.806286,-1.255332,1.784502
880,1.528912511035486e+18,1,0,0,0,0.8905370000000001,-1.3515629999999998,-2.772673
890,1.5289125112370578e+18,1,0,0,0,-1.303305,-1.184754,1.375501
900,1.5289125114386296e+18,1,0,0,0,-1.9340950000000001,-1.353743,0.391323
910,1.5289125116402017e+18,1,0,0,0,-0.40560799999999997,-1.314171,2.080865
920,1.5289125118417733e+18,1,0,0,0,1.103872,-1.334209,-2.5132209999999997
930,1.5289125120433452e+18,1,0,0,0,-1.246163,-1.263435,1.421738
940,1.528912512244917e+18,1,0,0,0,-2.1313880000000003,-1.405074,0.328853
950,1.5289125124464888e+18,1,0,0,0,0.213581,-1.328488,2.715134
960,1.528912512648061e+18,1,0,0,0,1.353216,-1.33198,-2.224854
970,1.5289125128496325e+18,1,0,0,0,-1.69737,-1.288742,0.9707450000000001
980,1.5289125130512044e+18,1,0,0,0,-1.7063380000000001,-1.2088860000000001,0.774825
990,1.5289125132527762e+18,1,0,0,0,0.35231999999999997,-1.285298,3.009413
1000,1.528912513454348e+18,1,0,0,0,1.44986,-1.482691,-2.2551229999999998
1010,1.52891251365592e+18,1,0,0,0,-1.730156,-1.2603209999999998,0.795651
1020,1.5289125138574917e+18,1,0,0,0,-1.2256129999999998,-1.179503,1.3701969999999999
1030,1.5289125140590636e+18,1,0,0,0,0.69217,-1.2653590000000001,-2.901639
1040,1.5289125142606354e+18,1,0,0,0,-1.2684090000000001,-1.322262,1.57342
1050,1.5289125144622072e+18,1,0,0,0,-1.813955,-1.268673,0.756088
1060,1.528912514663779e+18,1,0,0,0,-0.9393239999999999,-1.271111,1.85695
1070,1.528912514865351e+18,1,0,0,0,1.100909,-1.2967110000000002,-2.446893
1080,1.5289125150669228e+18,1,0,0,0,-1.288031,-1.309075,1.668682
